procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 504556  18120   2872 140244    0    0     0    28  536  395  0  5 94  1  0
 0  0 504556  19412   2872 140244    0    0     0     0  582  378  0  7 93  0  0
 0  0 504556  18568   2872 140248    0    0     0    20  527  412  0  3 97  0  0
 0  0 504556  18316   2872 140248    0    0     0     0  852  561  0 15 85  0  0
 1  0 504556  18492   2872 140264    0    0     0     0  520  368  0  4 96  0  0
 0  0 504556  18808   2880 140260    0    0     0    36  875  562  0 11 88  1  0
 1  0 504556  17612   2880 140268    0    0     0     0  721  427  0  9 91  0  0
 1  0 504556  18372   2880 140268    0    0     0     8  758  477  0  9 91  0  0
 0  0 504556  19432   2880 140256    0    0     0     4  657  455  1  6 94  0  0
 1  0 504556  19572   2876 138648    0    0     0     0  856  630  0 13 87  0  0
 0  0 504556  20156   2884 138628    0    0     0    28  701  464  0  8 92  1  0
 2  0 504556  19172   2884 138640    0    0     0     0  904  579  0 14 86  0  0
 1  0 504556  20308   2884 138640    0    0     0   156  518  403  0  5 95  0  0
 0  0 504556  20060   2884 138680   16    0    56    12  701  478  0  9 91  0  0
 2  0 504556  19120   2884 138680    0    0     0     4  741  505  0 10 90  0  0
 2  0 504556  20620   2892 138684    0    0     0    28 1118  696  0 16 84  0  0
 2  0 504556  20360   2892 138684    0    0     0     0  673  471  1  6 94  0  0
 1  0 504556  18336   2892 138684    0    0     0     0  850  595  0 10 90  0  0
 1  0 504556  20392   2892 138688    0    0     0     8  354  321  0  1 99  0  0
 1  0 504556  20128   2892 138688    4    0     4     0  851  534  0  7 93  1  0
 0  0 504556  19728   2892 138688    0    0     0     4  796  546  0  8 92  0  0
 2  0 504556  20932   2900 138688    0    0     0    56  637  477  0  3 97  0  0
 2  0 504556  20468   2900 138692    0    0     0     0  691  472  0  7 93  0  0
 3  0 504556  18012   2900 138692    0    0     0    12  948  584  1 12 87  0  0
 2  0 504556  20636   2900 138692    0    0     0     0  507  398  0  3 97  0  0
 0  0 504300  20696   2900 138692    8    0     8     0  803  627  1  6 93  1  0
 1  0 504300  20680   2908 138696    0    0     0    32  715  611  0  7 93  0  0
 0  0 504300  19760   2908 138696    0    0     0     0  915  608  0 16 84  0  0
 1  0 504300  18544   2908 138696    0    0     0     8  544  386  0  5 95  0  0
 0  0 504300  20328   2908 138696    0    0     0     0  876  525  0 11 89  0  0
 0  0 504300  20072   2908 138700    0    0     0     0  667  412  0  6 94  0  0
 0  0 504300  20484   2916 138700    0    0     0    28  603  455  0  9 91  0  0
 0  0 504300  20276   2916 138700    0    0     0     4  585  404  0  4 96  0  0
 0  0 504300  20368   2916 138704    0    0     0    12 1005  677  1 12 87  0  0
 2  0 504300  20196   2916 138704    0    0     0     0  583  432  0  3 97  0  0
 0  0 504300  19884   2916 138704    0    0     0     0  782  512  0 10 90  0  0
 0  0 504300  20900   2924 138708    0    0     0    28  403  342  0  4 96  0  0
 0  0 504300  21068   2924 138708    0    0     0     0  772  499  0 10 89  1  0
 0  0 504300  20792   2924 138708   20    0    20     4  609  463  0  5 95  0  0
 1  0 504300  20368   2924 138712    0    0     0     8  860  568  0  8 92  0  0
 2  0 504300  18920   2924 138712    0    0     0     0  774  482  0  8 92  0  0
 1  0 504300  19936   2932 138704    0    0     0    28 1141  694  0 15 85  0  0
 1  0 504300  20288   2932 138712    0    0     0     0  434  373  0  4 96  0  0
 1  0 504300  20412   2932 138716    0    0     0     0  576  456  1  3 97  0  0
 1  0 504300  21464   2932 138716    0    0     0    16  624  449  0  5 95  0  0
 1  0 504300  20392   2932 138716    0    0     0     0  588  407  0  9 91  0  0
 1  0 504300  20392   2932 138716    0    0     0     0   91  109  0  0 100  0  0
